"acs_year","community_area","under_25_000","_25_000_to_49_999","_50_000_to_74_999","_75_000_to_125_000","_125_000","male_0_to_17","male_18_to_24","male_25_to_34","male_35_to_49","male_50_to_64","male_65","female_0_to_17","female_18_to_24","female_25_to_34","female_35_to_49","female_50_to_64","female_65","total_population","white","black_or_african_american","american_indian_or_alaska","asian","native_hawaiin_or_pacific","other_race","multiracial","white_not_hispanic_or_latino","hispanic_or_latino","record_id"
"2023","LOOP","138.0","540.0","305.0","1122.0","4777.0","1145.0","2179.0","7741.0","3986.0","2394.0","1583.0","1223.0","3843.0","6816.0","2979.0","2173.0","2221.0","38284.0","22509.0","3120.0","367.0","8849.0","0.0","1016.0","2424.0","20573.0","4297.0","2023_LOOP"
"2023","LOWER WEST SIDE","900.0","1560.0","1242.0","1626.0","1887.0","3150.0","1522.0","4392.0","3634.0","2785.0","1700.0","2664.0","1888.0","4253.0","3611.0","2461.0","2118.0","34177.0","13332.0","1118.0","707.0","1430.0","0.0","11407.0","6182.0","7311.0","23679.0","2023_LOWER WEST SIDE"
"2023","MCKINLEY PARK","320.0","781.0","699.0","779.0","1039.0","1435.0","762.0","1301.0","1596.0","1828.0","740.0","1567.0","661.0","1141.0","1474.0","1819.0","1077.0","15400.0","5199.0","339.0","256.0","4282.0","0.0","3700.0","1625.0","2204.0","8474.0","2023_MCKINLEY PARK"
"2023","MONTCLARE","312.0","464.0","510.0","827.0","1089.0","1719.0","529.0","851.0","1484.0","1101.0","1025.0","1312.0","498.0","791.0","1419.0","1663.0","1363.0","13755.0","7066.0","922.0","72.0","446.0","0.0","3851.0","1398.0","4683.0","7515.0","2023_MONTCLARE"
"2023","MORGAN PARK","759.0","761.0","571.0","1180.0","1767.0","2608.0","667.0","1139.0","1985.0","1909.0","1646.0","2528.0","386.0","1212.0","2337.0","2124.0","2748.0","21288.0","6807.0","12770.0","53.0","211.0","0.0","335.0","1112.0","6485.0","981.0","2023_MORGAN PARK"
"2023","MOUNT GREENWOOD","158.0","289.0","270.0","917.0","2785.0","2355.0","1042.0","933.0","1931.0","2268.0","1018.0","2521.0","631.0","894.0","2079.0","1811.0","1622.0","19107.0","17017.0","344.0","16.0","202.0","0.0","356.0","1172.0","16041.0","1834.0","2023_MOUNT GREENWOOD"
"2023","NEAR NORTH SIDE","847.0","1032.0","517.0","1375.0","12236.0","3377.0","4374.0","15437.0","7622.0","7120.0","6401.0","2917.0","5592.0","16019.0","7509.0","7289.0","7978.0","91635.0","64903.0","6434.0","492.0","12354.0","8.0","1855.0","5590.0","62702.0","6664.0","2023_NEAR NORTH SIDE"
"2023","NEAR SOUTH SIDE","447.0","180.0","235.0","401.0","4452.0","1752.0","633.0","3425.0","3566.0","2341.0","1128.0","1662.0","330.0","4305.0","2893.0","2275.0","1998.0","26307.0","14113.0","6588.0","57.0","3830.0","0.0","329.0","1390.0","13320.0","1334.0","2023_NEAR SOUTH SIDE"
"2023","NEAR WEST SIDE","1532.0","1460.0","814.0","1625.0","6517.0","4919.0","4219.0","10357.0","7348.0","3601.0","1701.0","4144.0","4777.0","10374.0","7342.0","3979.0","2610.0","65370.0","30838.0","16099.0","119.0","11600.0","88.0","2322.0","4304.0","28282.0","6779.0","2023_NEAR WEST SIDE"
"2023","NEW CITY","2266.0","2142.0","1432.0","1622.0","1440.0","5713.0","2336.0","2272.0","4591.0","3231.0","2477.0","5182.0","2083.0","3095.0","4415.0","2873.0","2576.0","40843.0","12557.0","8446.0","524.0","991.0","29.0","13273.0","5024.0","4036.0","27311.0","2023_NEW CITY"
"2023","NORTH CENTER","355.0","271.0","378.0","1019.0","6575.0","4873.0","673.0","3400.0","5310.0","2578.0","1093.0","4495.0","707.0","3913.0","4913.0","2253.0","1574.0","35782.0","28092.0","906.0","17.0","2264.0","22.0","1063.0","3418.0","26136.0","4516.0","2023_NORTH CENTER"
"2023","NORTH LAWNDALE","1772.0","1538.0","1171.0","1454.0","613.0","4003.0","1654.0","2029.0","2415.0","1900.0","1477.0","3851.0","1250.0","2711.0","3627.0","3188.0","2251.0","30355.0","2545.0","24036.0","155.0","59.0","0.0","2363.0","1196.0","1614.0","4413.0","2023_NORTH LAWNDALE"
"2023","NORTH PARK","391.0","835.0","583.0","1105.0","1390.0","1786.0","740.0","1243.0","1815.0","1591.0","1419.0","2570.0","943.0","1377.0","1781.0","1854.0","2139.0","19259.0","10185.0","532.0","153.0","6058.0","0.0","904.0","1426.0","8578.0","3398.0","2023_NORTH PARK"
"2023","NORWOOD PARK","771.0","972.0","1140.0","2459.0","5263.0","5002.0","1192.0","2457.0","4154.0","3711.0","2981.0","4302.0","1067.0","1804.0","4531.0","3903.0","4970.0","40074.0","31029.0","515.0","144.0","2809.0","0.0","1759.0","3819.0","27986.0","7802.0","2023_NORWOOD PARK"
"2023","OAKLAND","361.0","228.0","144.0","125.0","182.0","772.0","104.0","185.0","236.0","236.0","142.0","565.0","211.0","351.0","591.0","564.0","414.0","4373.0","159.0","3946.0","59.0","51.0","0.0","14.0","143.0","155.0","131.0","2023_OAKLAND"
"2023","OHARE","321.0","650.0","1052.0","1083.0","1155.0","1304.0","601.0","2010.0","1852.0","1799.0","1060.0","1565.0","581.0","1576.0","1516.0","1249.0","1167.0","16281.0","10624.0","1079.0","55.0","2237.0","0.0","1110.0","1176.0","9418.0","3013.0","2023_OHARE"
"2023","PORTAGE PARK","909.0","2483.0","1926.0","4182.0","5814.0","6444.0","3095.0","4545.0","7429.0","6435.0","3858.0","6611.0","2738.0","4146.0","7124.0","6704.0","5072.0","64201.0","38249.0","1171.0","1026.0","3935.0","9.0","12068.0","7743.0","29957.0","27520.0","2023_PORTAGE PARK"
"2023","PULLMAN","287.0","308.0","346.0","478.0","226.0","391.0","221.0","516.0","704.0","503.0","329.0","843.0","211.0","474.0","807.0","999.0","855.0","6851.0","1123.0","5293.0","0.0","5.0","0.0","244.0","186.0","848.0","559.0","2023_PULLMAN"
