"account_number","site_number","legal_name","doing_business_as_name","address","license_description","license_number","expiration_date","latitude","longitude"
"390160","1","KARAVITES RESTAURANT 6676, LLC","MCDONALD'S","600 N CLARK ST 1ST","Commercial Garage","2340988","2028-06-15T00:00:00.000","41.892464033","-87.6312948859"
"354002","18","METROPOLITAN 1, LLC","METROPOLITAN 1, LLC","151 - 157 W CHICAGO AVE","Commercial Garage","2350369","2028-06-15T00:00:00.000","41.8964975915","-87.6332299752"
"354002","38","METROPOLITAN 1, LLC","METROPOLITAN 1","17-19 W HUBBARD ST","Commercial Garage","2882385","2028-06-15T00:00:00.000","41.8899450166","-87.6286607468"
"354002","39","METROPOLITAN 1, LLC","METROPOLITAN 1","226 W HUBBARD ST 1","Commercial Garage","3052091","2028-06-15T00:00:00.000","41.8900769193","-87.6352078356"
"485227","1","2107 WESTERN INC.","BP","2107 S WESTERN AVE","Filling Station","2845482","2028-06-15T00:00:00.000","41.8536404521","-87.6855357912"
"321682","1","MURPHY'S PARKING, LLC","MURPHY'S PARKING, LLC","3650 - 54 N WILTON AVE","Commercial Garage","1846556","2028-06-15T00:00:00.000","41.9487463431","-87.6533113746"
"485948","1","STM 5 CORP.","SHELL","45 N WESTERN AVE","Filling Station","2850238","2028-06-15T00:00:00.000","41.8825116243","-87.6863244332"
"332182","61","VALET PARKING AUTHORITY LIMITED","VALET PARKING AUTHORITY","440 - 450 N LA SALLE DR 1ST","Commercial Garage","2476084","2028-06-15T00:00:00.000","41.8904019174","-87.6326998984"
"415295","1","NCR PARKING MANAGEMENT LLC","NCR PARKING MANAGEMENT LLC","110 E DELAWARE PL 2","Commercial Garage","2918385","2028-06-15T00:00:00.000","41.8992985777","-87.6255983853"
"485058","1","PYGMY SPEAR GARDEN LLC","PYGMY SPEAR GARDEN LLC","532 W ROSCOE ST","Commercial Garage","2845254","2028-06-15T00:00:00.000","41.9434488982","-87.6433134518"
"485057","1","PUNCH BOWL LLC","PUNCH BOWL LLC","2470 N CLARK ST","Commercial Garage","2845248","2028-06-15T00:00:00.000","41.9272784543","-87.6416538853"
"64237","3","WRIGLEYVILLE PARKING,  INC.","WRIGLEYVILLE PARKING INC","3455 N CLARK ST 1ST","Commercial Garage","41946","2028-06-15T00:00:00.000","41.9449236897","-87.6545078737"
"64237","1","WRIGLEYVILLE PARKING,  INC.","WRIGLEYVILLE PARK INC","1109 W ADDISON ST 1ST","Commercial Garage","41945","2028-06-15T00:00:00.000","41.9470572532","-87.6579147009"
"64237","6","WRIGLEYVILLE PARKING,  INC.","WRIGLEYVILLE PARKING, INC.","1126-1132 W EDDY ST","Commercial Garage","2841405","2028-06-15T00:00:00.000","41.9463693538","-87.6569919032"
"10726","5","GRAHAM ENTERPRISE INC","Rock N Roll BP (GEI-157)","631-647 N LA SALLE DR","Filling Station","2027540","2028-06-15T00:00:00.000","41.8932511985","-87.6324930122"
"3558","1","932 ADDISION LIQUORS INC.","ADDISON LIQUORS","932 W ADDISON ST 1ST","Commercial Garage","6113","2028-06-15T00:00:00.000","41.9473741186","-87.6531805895"
"85445","43","RED TOP PARKING, INC.","RED TOP PARKING INC","3701-3707 N SHEFFIELD AVE","Commercial Garage","1969049","2028-06-15T00:00:00.000","41.9491500019","-87.6542401854"
"85445","6","RED TOP PARKING, INC.","RED TOP PARKING INC","3701 N CLARK ST  OUT","Commercial Garage","5573","2028-06-15T00:00:00.000","41.9491234009","-87.6578903634"
"85445","5","RED TOP PARKING, INC.","RED TOP PARKING INC","3716 N SHEFFIELD AVE","Commercial Garage","5558","2028-06-15T00:00:00.000","41.9495857547","-87.6545472491"
"349503","3","CHICAGO CUBS BASEBALL CLUB, LLC","CHICAGO CUBS","1140 W EDDY ST 1ST","Commercial Garage","2009378","2028-06-15T00:00:00.000","41.9463618103","-87.6574847424"
"349503","8","CHICAGO CUBS BASEBALL CLUB, LLC","CHICAGO CUBS","3701-3709 N CLIFTON AVE 1ST","Commercial Garage","2574977","2028-06-15T00:00:00.000","41.949099559","-87.657370524"
"349503","5","CHICAGO CUBS BASEBALL CLUB, LLC","CHICAGO CUBS","1102 W WAVELAND AVE 1ST","Commercial Garage","2009390","2028-06-15T00:00:00.000","41.9491121271","-87.6569547957"
"63160","699","SP PLUS LLC","SP PLUS LLC","1201 N LA SALLE DR 4 & 5","Commercial Garage","3073274","2027-03-15T00:00:00.000","41.9039749278","-87.6327769437"
"63160","701","SP PLUS LLC","SP PLUS LLC","2700 N ELSTON AVE 1-4","Commercial Garage","3073646","2027-03-15T00:00:00.000","41.9304406838","-87.6855070945"
"63160","705","SP PLUS LLC","SP PLUS LLC","1701-1713 W WARREN BLVD","Commercial Garage","3078443","2027-03-15T00:00:00.000","41.8822349789","-87.6693721067"
"325535","2","ASHLAND COMMERCIAL, LLC","ASHLAND COMMERCIAL, LLC","1608 W ADAMS ST 2,3,4","Commercial Garage","1883320","2028-05-15T00:00:00.000","41.8789976956","-87.6671867377"
"3485","3","PROTECTED PARKING INC","Protected Parking Inc.","430 S CLINTON ST","Commercial Garage","3032001","2028-05-15T00:00:00.000","41.8758712588","-87.6411442437"
"16156","1","PLYMOUTH PARTNERS LP","PLYMOUTH PARTNERS LP","801-815 W VAN BUREN ST","Commercial Garage","42074","2028-05-15T00:00:00.000","41.8765610674","-87.6472576676"
"207671","35","PARK ONE, INC.","PARK ONE, INC.","600 S CLARK ST","Commercial Garage","2575506","2028-05-15T00:00:00.000","41.8744613835","-87.630820444"
"207671","10","PARK ONE, INC.","PARK ONE INC.","623 W MONROE ST","Commercial Garage","1887918","2028-05-15T00:00:00.000","41.8804249815","-87.6436547658"
"30850","1","ANSEMOSS & SONS INC","TONY'S BP","1004 S DESPLAINES ST  1ST","Filling Station","27729","2028-05-15T00:00:00.000","41.8695310894","-87.6438815301"
"63160","703","SP PLUS LLC","SP PLUS LLC","30 W HURON ST","Commercial Garage","3074113","2027-03-15T00:00:00.000","41.8949686732","-87.6293991787"
"63160","690","SP PLUS LLC","SP PLUS","8 E 9TH ST 2-9","Commercial Garage","3056660","2027-03-15T00:00:00.000","41.8706349908","-87.6272775301"
"465934","1","CUIC, LLC","Courtyard by Marriott Chicago at Medical District/UIC","625 S ASHLAND AVE 1-4","Commercial Garage","2712448","2028-04-15T00:00:00.000","41.8734345658","-87.6664336814"
"278094","2","BIJAN ZANUBI","BIJAN ZANUBI","3300 N SHEFFIELD AVE 1ST","Commercial Garage","2542024","2028-04-15T00:00:00.000","41.9418303335","-87.6543127749"
"482973","1","SACRAMENTO AMOCO INC.","AMOCO","2338 N SACRAMENTO AVE","Filling Station","2831209","2028-04-15T00:00:00.000","41.9244818411","-87.7024581888"
"483854","1","ONNI GRAND LIMITED PARTNERSHIP","LEVEL HOTELS & FURNISHED SUITES","369 W GRAND AVE 7-13","Commercial Garage","3010931","2028-04-15T00:00:00.000","41.8914193106","-87.6382213293"
"505406","1","ONNI 352 N UNION CHICAGO LLC","ONNI","354 N UNION AVE 5-16","Commercial Garage","3015607","2028-04-15T00:00:00.000","41.8885558393","-87.6459237783"
"63160","692","SP PLUS LLC","SP PLUS LLC","233 E ERIE ST 2 LEVEL BELOW","Commercial Garage","3065245","2027-03-15T00:00:00.000","41.8940631626","-87.6213958402"
"63160","700","SP PLUS LLC","SP PLUS LLC","2555 N CLARK ST LL,G, UL","Commercial Garage","3073631","2027-03-15T00:00:00.000","41.9292723531","-87.6425018778"
"63160","696","SP PLUS LLC","SP PLUS LLC","10-30 S WACKER DR BB1-4","Commercial Garage","3069300","2027-03-15T00:00:00.000","41.8817224568","-87.6371636182"
"63160","698","SP PLUS LLC","SP PLUS LLC","320 N SANGAMON ST","Commercial Garage","3073629","2027-03-15T00:00:00.000","41.8874187103","-87.6511741472"
